method,run,segment,IAE,mean_pwm,kp_mean,ki_mean,kd_mean
Full_Diffusion_DDIM20,1,start70,39.707600000000006,72.7665644,0.6000000000000001,1.5999999999999996,0.03
Full_Diffusion_DDIM20,1,accel95,12.8508,98.38979097781458,0.6895484030246738,1.7368259036540983,0.06609507489204403
Full_Diffusion_DDIM20,1,decel90,2.654800000000006,93.41916234511433,0.7350013214945793,2.2603732683658597,0.11611483082771298
Full_Diffusion_DDIM20,1,decel73,5.793400000000002,76.13632002615604,0.7975623967647553,2.4972428135871887,0.12
Full_Diffusion_DDIM20,2,start70,39.4941,72.16322400717947,0.6037316596508027,1.584060616731644,0.032615804815292346
Full_Diffusion_DDIM20,2,accel95,12.891100000000002,97.60812438417082,0.7064403756260873,1.8601746370792387,0.0955918099880218
Full_Diffusion_DDIM20,2,decel90,2.5509000000000004,92.29181229643267,0.8246740764379504,2.3650175480842592,0.12
Full_Diffusion_DDIM20,2,decel73,6.616999999999997,74.9737435605566,0.8984766008257865,2.463775838136673,0.12
Full_Diffusion_DDIM20,3,start70,39.0439,71.52504169704021,0.6009907767772675,1.592991009116173,0.031192337751388542
Full_Diffusion_DDIM20,3,accel95,12.895099999999998,97.20774279238917,0.6755738747715949,1.8079868458509443,0.08382074832916256
Full_Diffusion_DDIM20,3,decel90,2.4469999999999987,92.33323885768766,0.8007263605594637,2.3791399428844455,0.12
Full_Diffusion_DDIM20,3,decel73,5.977699999999999,74.9983177408673,0.8633578727841378,2.495354038476944,0.12
Full_Diffusion_DDIM20,4,start70,38.9615,71.21548406212007,0.6032192515134811,1.590835300564766,0.03320131266117095
Full_Diffusion_DDIM20,4,accel95,13.4923,96.8902772837074,0.7086430196166039,1.798167196035385,0.08864093356132503
Full_Diffusion_DDIM20,4,decel90,2.510200000000002,92.3701869930476,0.7970315698981284,2.3810843341350556,0.12
Full_Diffusion_DDIM20,4,decel73,6.2471,75.17447919606197,0.8727651984095575,2.4968889980316162,0.12
Full_Diffusion_DDIM20,5,start70,38.9812,71.64666650424448,0.6073021004199982,1.6001932456493375,0.03325323021411895
Full_Diffusion_DDIM20,5,accel95,12.175500000000001,97.41914816762093,0.701859760761261,1.95194433927536,0.09699977738857267
Full_Diffusion_DDIM20,5,decel90,2.6915999999999984,92.49440421183267,0.8458301652669908,2.4196040914058683,0.12
Full_Diffusion_DDIM20,5,decel73,5.655700000000003,75.95259253208832,0.9379502615928651,2.4913298687934873,0.12
Full_Diffusion_DDIM30,1,start70,40.0975,73.2661128,0.6000000000000001,1.5999999999999996,0.03
Full_Diffusion_DDIM30,1,accel95,13.152100000000003,99.24458893198393,0.7547427721023559,1.6582462027072906,0.06512661485671994
Full_Diffusion_DDIM30,1,decel90,2.885300000000004,94.1246622184767,0.701824212372303,2.06157380270958,0.10161084065437313
Full_Diffusion_DDIM30,1,decel73,6.360699999999999,76.44258274194475,0.7904243798255921,2.342456646919251,0.11999971275329589
Full_Diffusion_DDIM30,2,start70,40.040699999999994,73.18538061339646,0.6001473626494408,1.599022523641586,0.0302434330701828
Full_Diffusion_DDIM30,2,accel95,13.267900000000001,98.60632594425208,0.6612894396781922,1.7426632181406019,0.0732614563465118
Full_Diffusion_DDIM30,2,decel90,2.8049999999999997,93.43847376854,0.7483029823303223,2.2292562792301176,0.11911927371025083
Full_Diffusion_DDIM30,2,decel73,6.1394999999999955,76.07776496960876,0.8269540163278581,2.4212276904582977,0.12
Full_Diffusion_DDIM30,3,start70,39.3579,72.14242235401109,0.6011695879101754,1.5978615294694898,0.030211329460144043
Full_Diffusion_DDIM30,3,accel95,13.749100000000006,97.76916342747394,0.67796348375082,1.7190391944646837,0.06669552812576289
Full_Diffusion_DDIM30,3,decel90,2.462000000000002,92.9029289054093,0.7876708417534828,2.147239335775375,0.1177448842048645
Full_Diffusion_DDIM30,3,decel73,5.995699999999999,75.76897836254854,0.827599710404873,2.266293066740036,0.11767455582618712
Full_Diffusion_DDIM30,4,start70,39.3949,72.18059336998257,0.6046429437994957,1.5788521133661269,0.03205881407260894
Full_Diffusion_DDIM30,4,accel95,13.539499999999999,97.30974135989919,0.7163201578855517,1.74816268324852,0.0890786360263824
Full_Diffusion_DDIM30,4,decel90,2.469200000000005,92.50184159770997,0.9374956765174867,2.2091364607810973,0.05311645281314845
Full_Diffusion_DDIM30,4,decel73,6.650599999999999,75.29395393390345,0.9510108073949813,2.3296009907722475,0.08350247826576229
Full_Diffusion_DDIM30,5,start70,39.167,71.86093199231252,0.6104774239063263,1.5832940349578857,0.03143671324253081
Full_Diffusion_DDIM30,5,accel95,13.551700000000006,97.29461502403014,0.7003386682271957,1.6332541464567185,0.05840473773479457
Full_Diffusion_DDIM30,5,decel90,2.9190000000000014,92.68739478558616,0.7428358394503595,1.9893359208106995,0.10292946767807006
Full_Diffusion_DDIM30,5,decel73,6.511999999999995,75.60869082077062,0.7850706836581228,2.252440989255905,0.11975432381629943
Full_Diffusion_DDIM50,1,start70,38.91460000000001,71.25619519999998,0.6000000000000001,1.5999999999999996,0.03
Full_Diffusion_DDIM50,1,accel95,12.7476,96.86265404482026,0.8953058325052261,1.6877500188350678,0.08368238277435303
Full_Diffusion_DDIM50,1,decel90,2.897699999999999,92.38104041271514,0.9162216917276382,1.8765451393127444,0.10661581621170041
Full_Diffusion_DDIM50,1,decel73,7.374399999999999,75.53787712803201,0.8574428889751434,1.5415321489572529,0.07327394063472745
Full_Diffusion_DDIM50,2,start70,39.15459999999999,72.15370920000001,0.6000000000000001,1.5999999999999996,0.03
Full_Diffusion_DDIM50,2,accel95,12.439000000000007,97.02164290268814,0.6523821181654931,1.6390316493511201,0.05512626020908352
Full_Diffusion_DDIM50,2,decel90,2.7027,92.5078354941157,0.6479285739064218,1.7835577485561374,0.07713462638854975
Full_Diffusion_DDIM50,2,decel73,7.605000000000003,75.66745179853801,0.6591516182422639,1.968078766345978,0.09057154741287228
Full_Diffusion_DDIM50,3,start70,38.8724,71.12119320000002,0.6000000000000001,1.5999999999999996,0.03
Full_Diffusion_DDIM50,3,accel95,13.526600000000002,96.50000271556826,0.6262090222239494,1.60631738114357,0.04934837350845333
Full_Diffusion_DDIM50,3,decel90,2.6468000000000007,91.97260202177281,0.8725768622756004,1.803388098716736,0.0860746683597564
Full_Diffusion_DDIM50,3,decel73,7.4038,75.14380393879998,0.9544865238070489,1.9557513122558594,0.10782879781723015
Full_Diffusion_DDIM50,4,start70,38.8571,71.7235336,0.6000000000000001,1.5999999999999996,0.03
Full_Diffusion_DDIM50,4,accel95,12.935799999999999,96.87001694819055,0.7639437090158464,1.7114533287286755,0.06298894279003141
Full_Diffusion_DDIM50,4,decel90,2.6360000000000015,91.88764143897328,0.7979230766296388,1.8665350699424743,0.07498687458038326
Full_Diffusion_DDIM50,4,decel73,6.914699999999998,75.14533838514028,0.7132856112122535,2.0647123112678525,0.08252682652473446
Full_Diffusion_DDIM50,5,start70,38.7119,71.31525600000002,0.6000000000000001,1.5999999999999996,0.03
Full_Diffusion_DDIM50,5,accel95,12.670100000000001,96.56051998614528,0.8764311057925224,1.5566890263557434,0.06378168432712551
Full_Diffusion_DDIM50,5,decel90,3.2247000000000003,91.77060169021591,1.0485173233747482,1.6299354043006895,0.08201362175941464
Full_Diffusion_DDIM50,5,decel73,7.7326000000000015,74.86755169580593,0.988409132540226,1.8961198770999907,0.10157515153884883
Horizon30_Full_DDIM30,1,start70,39.6852,72.2968724,0.6000000000000001,1.5999999999999996,0.03
Horizon30_Full_DDIM30,1,accel95,13.369400000000002,98.47610792348925,0.8055389930009842,1.4515041810274125,0.06612684202194212
Horizon30_Full_DDIM30,1,decel90,3.4979,93.81217764008828,0.6202657914757729,1.5563990466594695,0.10420829601287838
