method,runs,IAE_mean,IAE_std,after_change_IAE_mean,after_change_IAE_std,mean_abs_error_mean,mean_abs_error_std,final_error_mean,final_error_std,settling_time_after_change_mean,settling_time_after_change_std,mean_pwm_mean,mean_pwm_std,max_pwm_mean,max_pwm_std,saturation_ratio_percent_mean,saturation_ratio_percent_std,schedule_chunk_accepted_count_mean,schedule_chunk_accepted_count_std,schedule_gain_applied_count_mean,schedule_gain_applied_count_std,schedule_fallback_count_mean,schedule_fallback_count_std,latency_generator_duration_sec_p90_mean,latency_generator_duration_sec_p90_std,latency_source_to_accept_sec_p90_mean,latency_source_to_accept_sec_p90_std,latency_source_to_apply_sec_p90_mean,latency_source_to_apply_sec_p90_std
Full_Diffusion_DDIM20_5run,5,53.72770000000003,0.809735083221669,21.490040000000015,0.6895067135278681,3.036385,0.04048675416108311,0.10840000000000027,0.04255937029609037,10.9,0.0,84.34881610180662,0.4993387913535714,105.98578954061665,3.778223707524153,0.0,0.0,15.6,0.8944271909999157,156.4,10.285912696499034,43.6,10.285912696499032,0.6105100631713867,0.0173013571350895,0.667168664932251,0.05746608595066305,1.6000405073165893,0.04660385836381816
Full_Diffusion_DDIM30_5run,5,55.10346000000002,0.3431446240289953,22.491860000000017,0.3305707533947926,3.105173,0.01715723120144986,0.1949999999999988,0.03234192325758917,10.92,0.04472135954999564,84.885357396092,0.6373627278170064,103.45857642770243,1.6799316262790693,0.0,0.0,12.6,0.8944271909999157,148.6,15.126136320951229,51.4,15.12613632095123,0.9322797775268554,0.0361510567030607,1.0695499420166015,0.1733367413083952,2.171962261199951,0.09503224155633046
Full_Diffusion_DDIM40_5run,5,55.62106000000002,1.2370088289903163,23.382360000000023,1.2384251422673835,3.1310530000000005,0.06185044144951572,0.2063999999999993,0.0808288314897553,11.12,0.38340579025361654,84.41319336388628,0.17567458515268894,102.39531820897736,1.2328990675872131,0.0,0.0,10.6,0.8944271909999157,110.0,25.029982021567655,90.0,25.029982021567655,1.2383947372436523,0.0623514125927106,1.4534912252426146,0.08305470149711561,2.424480023384094,0.001656194701286618
Full_Diffusion_DDIM50_5run,5,54.99362000000002,0.43645740571103053,23.091500000000018,0.5032793905973124,3.0996809999999995,0.021822870285551115,0.16140000000000038,0.11125331455736678,11.0,0.09999999999999964,83.91332339007609,0.28411487626461135,99.88158000000001,0.3146385825038062,0.0,0.0,8.4,0.5477225575051662,74.4,18.474306482247176,125.6,18.474306482247176,1.5206049251556397,0.09490924531769682,1.6417870998382569,0.0575791052562379,2.467352643013,0.0561978056870229
Horizon30_Full_DDIM30_5run,5,59.005460000000014,0.7082102675053523,26.662600000000015,0.7418418800526116,3.300273,0.03541051337526758,0.08139999999999926,0.04758466139419453,11.260000000000002,0.27018512172212605,84.70003506685359,0.5224503604587153,101.77617706275703,3.8032408059291027,0.0,0.0,12.2,0.8366600265340756,151.2,12.93058390019569,48.8,12.93058390019569,0.9349050521850586,0.023378108213484693,1.0265697956085205,0.08685639219340154,2.2325746536254885,0.048811068450996045
