backend,control_dt,target_before,target_after,target_profile,target_change_times,IAE,mean_abs_error,final_error,after_change_IAE,after_change_max_error,disturbance_IAE,disturbance_max_error,disturbance_min_current,settling_time_after_change,mean_pwm,total_pwm,max_pwm,saturation_ratio_percent,saturation_duration,near_high_saturation_ratio_percent,server_gain_applied_count,schedule_gain_applied_count,schedule_apply_mode,schedule_chunk_accepted_count,schedule_fallback_count,server_gain_discarded_count,duplicate_gain_discard_count,unsafe_gain_discard_count,local_gain_reduction_count,local_gain_recovery_count,min_kp_scale,min_ki_scale,latency_source_to_accept_sec_mean,latency_source_to_accept_sec_p50,latency_source_to_accept_sec_p90,latency_source_to_accept_sec_max,latency_source_to_apply_sec_mean,latency_source_to_apply_sec_p50,latency_source_to_apply_sec_p90,latency_source_to_apply_sec_max,latency_generated_to_accept_sec_mean,latency_generated_to_accept_sec_p50,latency_generated_to_accept_sec_p90,latency_generated_to_accept_sec_max,latency_generator_duration_sec_mean,latency_generator_duration_sec_p50,latency_generator_duration_sec_p90,latency_generator_duration_sec_max,latency_timing_slack_sec_mean,latency_timing_slack_sec_p50,latency_timing_slack_sec_p90,latency_timing_slack_sec_max,target_70_IAE,target_70_mean_abs_error,target_70_max_error,target_73_IAE,target_73_mean_abs_error,target_73_max_error,target_90_IAE,target_90_mean_abs_error,target_90_max_error,target_95_IAE,target_95_mean_abs_error,target_95_max_error,method,file
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",54.006600000000034,3.05033,0.1539999999999963,21.299000000000024,25.029,,,,10.9,85.17795943727124,1698.5591887454248,100.41258,0.0,0.0,0.0,1,138,delay_aware,14,62,0,0,0,0,0,1.0,1.0,0.7187236340149589,0.6255602836608887,0.7312338352203369,1.2590727806091309,1.2388916637586511,1.2576212882995603,1.6833957433700562,2.424000024795532,0.0510163911874743,0.0269360542297363,0.1080129146575927,0.1085345745086669,0.6101643900940383,0.6135046482086182,0.6313047409057617,0.6369690895080566,-0.6811594202898553,-0.6999999999999993,-0.2000000000000008,-0.0999999999999978,32.7076,7.941520000000001,70.0,5.793400000000012,1.1586800000000002,17.183000000000007,2.6548000000000087,0.5309600000000012,4.936000000000007,12.8508,2.57016,25.029,Full_Diffusion_DDIM20_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim20_pure_5run_dyn_70_95_90_73_r1_20260511_135051.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",54.553100000000015,3.077655,0.1280000000000001,22.05900000000001,24.878,,,,10.9,84.25922606208489,1680.184521241698,109.40924254324496,0.0,0.0,0.0,0,161,delay_aware,16,39,0,0,0,0,0,1.0,1.0,0.623772508609369,0.6238322257995605,0.6248307228088379,0.6268711090087891,1.1217176588425726,1.1518714427947998,1.578491449356079,1.687554121017456,0.0419345820172232,0.0403873920440673,0.0565094947814941,0.0650098323822021,0.5799050923460018,0.5813417434692383,0.5938286781311035,0.5999007225036621,-0.5695652173913045,-0.5999999999999979,-0.1999999999999993,-0.0999999999999978,32.4941,7.898820000000001,70.0,6.61700000000001,1.3233999999999997,17.465999999999994,2.550900000000002,0.51018,5.186999999999998,12.891100000000003,2.57822,24.878,Full_Diffusion_DDIM20_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim20_pure_5run_dyn_70_95_90_73_r2_20260511_135126.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",53.36370000000001,3.018185,0.1029999999999944,21.31980000000001,25.123999999999995,,,,10.9,84.01608527199609,1675.321705439922,103.92363333394356,0.0,0.0,0.0,0,161,delay_aware,16,39,0,0,0,0,0,1.0,1.0,0.6235914052643391,0.62355637550354,0.6257364749908447,0.6266236305236816,1.1238802812114266,1.150803804397583,1.5783236026763916,1.687577247619629,0.0429030871539382,0.043506383895874,0.0593960285186767,0.0630133152008056,0.5787013850597121,0.5786135196685791,0.5987160205841064,0.6117911338806152,-0.5720496894409939,-0.5999999999999979,-0.1999999999999993,-0.0999999999999978,32.0439,7.80878,70.0,5.977700000000012,1.1955399999999998,17.373999999999995,2.4470000000000027,0.4893999999999996,4.924000000000007,12.8951,2.5790199999999994,25.123999999999995,Full_Diffusion_DDIM20_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim20_pure_5run_dyn_70_95_90_73_r3_20260511_135202.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",54.21110000000002,3.0605549999999995,0.1170000000000044,22.249600000000022,25.242999999999995,,,,10.9,83.91260688373426,1673.2521376746854,107.31824420431202,0.0,0.0,0.0,0,161,delay_aware,16,39,1,1,0,0,0,1.0,1.0,0.6432396240115906,0.6243057250976562,0.7289912700653076,0.7299621105194092,1.1454654539593998,1.1523797512054443,1.580101490020752,1.790203332901001,0.0306696018076831,0.0190024375915527,0.1000294685363769,0.1062080860137939,0.610463361562409,0.6135010719299316,0.6269612312316895,0.6519491672515869,-0.5925465838509318,-0.5999999999999996,-0.1999999999999993,-0.0999999999999978,31.9615,7.792299999999999,70.0,6.247100000000015,1.2494199999999998,17.046000000000006,2.510200000000007,0.5020400000000004,5.233000000000004,13.492300000000004,2.69846,25.242999999999995,Full_Diffusion_DDIM20_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim20_pure_5run_dyn_70_95_90_73_r4_20260511_135238.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",52.50400000000002,2.9752000000000005,0.0400000000000062,20.522800000000014,24.764,,,,10.9,84.3782028539466,1682.564057078932,108.86524762158278,0.0,0.0,0.0,0,161,delay_aware,16,39,0,0,0,0,0,1.0,1.0,0.6235739562822424,0.6235988140106201,0.6250510215759277,0.6251468658447266,1.124440462692924,1.1488451957702637,1.579890251159668,1.6877198219299316,0.040064577730546,0.043978214263916,0.0575067996978759,0.0625076293945312,0.5815762762697587,0.5776634216308594,0.6017396450042725,0.6141910552978516,-0.5720496894409939,-0.5999999999999979,-0.1999999999999993,-0.0999999999999978,31.9812,7.796239999999999,70.0,5.655700000000013,1.1311400000000007,17.049999999999997,2.691600000000001,0.5383199999999997,4.710999999999999,12.1755,2.4351000000000003,24.764,Full_Diffusion_DDIM20_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim20_pure_5run_dyn_70_95_90_73_r5_20260511_135314.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",55.49560000000003,3.124780000000001,0.171999999999997,22.39810000000002,25.163,,,,10.9,85.76948667310134,1710.3897334620272,101.5895,0.0,0.0,0.0,2,123,delay_aware,11,77,0,0,0,0,0,1.0,1.0,1.0246888273130588,0.9418680667877196,1.047752857208252,1.9929726123809812,1.6525396273388129,1.6799209117889404,2.2154248714447022,2.523455142974853,0.0507856210072835,0.0372781753540039,0.0973846435546874,0.0991337299346923,0.9121542791040932,0.9075467586517334,0.942429542541504,0.9506378173828124,-1.072357723577236,-1.0999999999999996,-0.5,-0.3999999999999986,33.097500000000004,8.019499999999999,70.0,6.360700000000016,1.2721399999999996,16.955,2.885300000000007,0.5770600000000008,5.016000000000005,13.1521,2.6304200000000004,25.163,Full_Diffusion_DDIM30_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim30_pure_dyn_70_95_90_73_r1_20260511_132239.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",55.25310000000001,3.112655,0.2120000000000033,22.21240000000001,24.65300000000001,,,,10.9,85.32698632394931,1701.5397264789867,104.22148723138332,0.0,0.0,0.0,0,151,delay_aware,13,49,1,1,0,0,0,1.0,1.0,0.9408166755903636,0.940544605255127,0.9430201053619384,0.9444468021392822,1.555474451835582,1.5753414630889893,2.106569528579712,2.3171262741088867,0.0672124363728706,0.0760116577148437,0.0840091705322265,0.0916669368743896,0.8713772975845843,0.8654329776763916,0.8949298858642578,0.9090030193328856,-0.9801324503311258,-1.0,-0.5,-0.3999999999999986,33.040699999999994,8.00814,70.0,6.139500000000007,1.227899999999999,17.125,2.8050000000000037,0.5609999999999999,5.126000000000005,13.2679,2.65358,24.65300000000001,Full_Diffusion_DDIM30_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim30_pure_dyn_70_95_90_73_r2_20260511_132315.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",54.56470000000002,3.0782350000000003,0.2159999999999939,22.206800000000023,25.033,,,,10.9,84.64587326236071,1687.9174652472143,103.44755686726634,0.0,0.0,0.0,0,151,delay_aware,13,49,1,1,0,0,0,1.0,1.0,0.941447581676458,0.9413740634918212,0.944570541381836,0.9451615810394288,1.555574145538128,1.574171543121338,2.1079325675964355,2.320148229598999,0.0707741004741744,0.0760102272033691,0.0896525382995605,0.0938153266906738,0.8687584258073213,0.8643605709075928,0.8966588973999023,0.9041602611541748,-0.9801324503311258,-1.0,-0.5,-0.3999999999999986,32.3579,7.871579999999999,70.0,5.995700000000012,1.19914,17.177999999999997,2.462000000000005,0.4924000000000004,4.933000000000007,13.749100000000007,2.749820000000001,25.033,Full_Diffusion_DDIM30_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim30_pure_dyn_70_95_90_73_r3_20260511_132351.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",55.05420000000002,3.10271,0.2249999999999943,22.65930000000002,25.381,,,,11.0,84.32153256537379,1681.430651307476,105.8322487275511,0.0,0.0,0.0,0,163,delay_aware,13,37,0,0,0,0,0,1.0,1.0,0.9342167860159843,0.9429314136505128,1.0469398498535156,1.0495259761810305,1.554484525341198,1.576908826828003,2.109668827056885,2.4261224269866943,0.0539885035321756,0.0415072441101074,0.0992481708526611,0.2040448188781738,0.8781722191652638,0.8844661712646484,0.948078155517578,0.9652998447418212,-0.9766871165644172,-1.0,-0.5,-0.2999999999999989,32.39490000000001,7.878979999999999,70.0,6.650600000000011,1.3301199999999995,16.873999999999995,2.4692000000000083,0.493840000000001,5.674999999999997,13.5395,2.7078999999999995,25.381,Full_Diffusion_DDIM30_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim30_pure_dyn_70_95_90_73_r4_20260511_132427.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",55.14970000000002,3.107485,0.1500000000000056,22.98270000000002,25.105000000000004,,,,10.9,84.36290815567487,1682.2581631134974,102.20208931231144,0.0,0.0,0.0,0,155,delay_aware,13,45,0,0,0,0,0,1.0,1.0,1.0751356155641618,1.048065423965454,1.3654663562774658,1.5793216228485107,1.6852506114590553,1.6846888065338137,2.3202155113220213,2.5394821166992188,0.0444393296395578,0.0425062179565429,0.0850148200988769,0.1030242443084716,0.9419425948973624,0.928786277770996,0.9793024063110352,1.0052597522735596,-1.1,-1.0999999999999996,-0.5999999999999985,-0.3999999999999986,32.167,7.8334,70.0,6.512000000000013,1.302399999999999,17.510999999999996,2.9190000000000045,0.5838000000000002,5.5190000000000055,13.551700000000006,2.710340000000001,25.105000000000004,Full_Diffusion_DDIM30_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim30_pure_dyn_70_95_90_73_r5_20260511_132502.csv
